time,gsr
1463084390,765
1463084396,740
1463084401,706
1463084406,679
1463084411,728
1463084416,598
1463084421,638
1463084426,667
1463084431,686
1463084436,660
1463084441,685
1463084446,682
1463084451,665
1463084456,639
1463084461,620
1463084466,653
1463084471,614
1463084476,639
1463084480,659
1463084485,658
1463084490,597
1463084495,623
1463084500,628
1463084505,562
1463084510,586
1463084515,575
1463084520,611
1463084525,572
1463084530,601
1463084535,599
1463084540,621
1463084545,591
1463084550,611
1463084555,624
1463084560,632
1463084565,633
1463084570,630
1463084575,635
1463084580,611
1463084585,635
1463084590,629
1463084595,644
1463084600,619
1463084605,654
1463084610,669
1463084615,667
1463084620,656
1463084625,636
1463084630,654
1463084635,668
1463084640,615
1463084645,665
1463084650,683
1463084655,686
1463084660,689
1463084665,704
1463084670,687
1463084675,704
1463084680,703
1463084685,688
1463084690,658
1463084695,694
1463084700,693
1463084705,629
1463084710,686
1463084715,702
1463084720,692
1463084725,713
1463084730,633
1463084734,663
1463084739,680
1463084744,678
1463084749,671
1463084754,683
1463084759,687
1463084764,700
1463084769,706
1463084774,691
1463084779,689
1463084784,677
1463084789,595
1463084794,550
1463084799,613
1463084804,626
1463084809,658
1463084814,661
1463084819,639
1463084824,671
1463084829,644
1463084834,664
1463084839,675
1463084844,683
1463084849,661
1463084854,693
1463084859,693
1463084864,685
1463084869,723
1463084874,730
1463084879,752
1463084884,755
1463084889,723
1463084894,754
1463084899,733
1463084904,719
1463084909,703
1463084914,717
1463084919,702
1463084924,624
1463084929,671
1463084934,685
1463084939,689
1463084944,658
1463084949,645
1463084954,641
1463084959,679
1463084964,625
1463084969,665
1463084974,689
1463084979,621
1463084984,616
1463084988,667
1463084993,612
1463084998,625
1463085003,620
1463085008,598
1463085013,637
1463085018,643
1463085023,645
1463085028,652
1463085033,664
1463085038,667
1463085043,661
1463085048,670
1463085053,664
1463085058,635
1463085063,646
1463085068,650
1463085073,618
1463085078,652
1463085083,616
1463085088,651
1463085093,661
1463085098,593
1463085103,568
1463085108,544
1463085113,563
1463085118,545
1463085123,549
1463085128,548
1463085133,553
1463085138,500
1463085143,565
1463085148,529
1463085153,506
1463085158,510
1463085163,513
1463085168,486
1463085173,447
1463085178,458
1463085183,416
1463085188,480
1463085193,485
1463085198,472
1463085203,459
1463085208,468
1463085213,453
1463085218,433
1463085223,428
1463085228,432
1463085233,406
1463085238,409
1463085242,401
1463085248,388
1463085252,387
1463085257,374
1463085262,366
1463085267,372
1463085272,360
1463085277,351
1463085282,374
1463085287,383
1463085292,376
1463085297,389
1463085302,391
1463085307,386
1463085312,373
1463085317,385
1463085322,379
1463085327,394
1463085332,382
1463085337,374
1463085342,384
1463085347,375
1463085352,380
1463085357,389
1463085362,389
1463085367,398
1463085372,397
1463085377,401
1463085382,403
1463085387,402
1463085392,404
1463085397,393
1463085402,394
1463085407,410
1463085412,433
1463085417,425
1463085422,425
1463085427,431
1463085432,432
1463085437,436
1463085442,428
1463085447,429
1463085452,433
1463085457,437
1463085462,416
1463085467,432
1463085472,436
1463085477,410
1463085482,428
1463085487,427
1463085492,432
1463085497,431
1463085501,436
1463085506,441
1463085511,443
1463085516,447
1463085521,447
1463085526,450
1463085531,443
1463085536,456
1463085541,457
1463085546,463
1463085551,459
1463085556,468
1463085561,473
1463085566,476
1463085571,462
1463085576,482
1463085581,485
1463085586,470
1463085591,485
1463085596,491
1463085601,489
1463085606,485
1463085611,497
1463085616,501
1463085621,496
1463085626,504
1463085631,506
1463085636,484
1463085641,498
1463085646,492
1463085651,481
1463085656,496
1463085661,491
1463085666,499
1463085671,495
1463085676,502
1463085681,495
1463085687,498
1463085691,507
1463085696,509
1463085701,514
1463085706,518
1463085711,522
1463085716,526
1463085721,524
1463085726,530
1463085731,533
1463085736,536
1463085741,513
1463085746,505
1463085750,530
1463085755,533
1463085760,536
1463085765,540
1463085770,546
1463085775,547
1463085780,553
1463085785,555
1463085790,555
1463085795,558
1463085800,548
1463085805,561
1463085810,565
1463085815,565
1463085820,570
1463085825,573
1463085830,577
1463085835,580
1463085840,579
1463085845,587
1463085850,583
1463085855,539
1463085860,561
1463085865,563
1463085870,573
1463085875,577
1463085880,563
1463085885,578
1463085890,583
1463085895,572
1463085900,582
1463085905,595
1463085910,604
1463085915,604
1463085920,611
1463085925,614
1463085930,611
1463085935,592
1463085940,611
1463085945,611
1463085950,582
1463085955,601
1463085960,584
1463085965,586
1463085970,603
1463085975,606
1463085980,597
1463085985,611
1463085990,604
1463085995,607
1463086000,600
1463086004,605
1463086009,610
1463086014,616
1463086019,605
1463086024,606
1463086029,615
1463086034,600
1463086039,615
1463086044,625
1463086049,629
1463086054,610
1463086059,554
1463086064,590
1463086069,596
1463086074,610
1463086079,578
1463086084,587
1463086089,591
1463086094,580
1463086099,595
1463086104,589
1463086109,598
1463086114,606
1463086119,598
1463086124,593
1463086129,610
1463086134,596
1463086139,539
1463086144,532
1463086149,563
1463086154,540
1463086159,522
1463086164,533
1463086169,514
1463086174,504
1463086179,498
1463086184,517
1463086189,522
1463086194,515
1463086199,519
1463086204,518
1463086209,530
1463086214,515
1463086219,500
1463086224,514
1463086229,516
1463086234,524
1463086239,527
1463086244,476
1463086249,491
1463086254,517
1463086259,524
1463086263,530
1463086268,519
1463086273,493
1463086278,497
1463086283,531
1463086288,543
1463086293,502
1463086298,534
1463086303,555
1463086308,556
1463086313,566
1463086318,530
1463086323,506
1463086328,511
1463086333,522
1463086338,539
1463086343,528
1463086348,513
1463086353,527
1463086358,532
1463086363,503
1463086368,528
1463086373,514
1463086378,504
1463086383,530
1463086388,522
1463086393,530
1463086398,503
1463086403,506
1463086408,489
1463086413,505
1463086418,511
1463086423,498
1463086428,510
1463086433,488
1463086438,511
1463086443,516
1463086448,507
1463086453,508
1463086458,515
1463086463,511
1463086468,531
1463086473,537
1463086478,530
1463086483,539
1463086488,492
1463086493,530
1463086498,516
1463086503,517
1463086508,525
1463086513,546
1463086517,524
1463086522,542
1463086527,548
1463086532,552
1463086537,558
1463086542,562
1463086547,564
1463086552,571
1463086557,563
1463086562,565
1463086567,576
1463086572,583
1463086577,589
1463086582,594
1463086587,587
1463086592,600
1463086597,578
1463086602,570
1463086607,595
1463086612,577
1463086617,566
1463086622,569
1463086627,581
1463086632,585
1463086637,582
1463086642,582
1463086647,588
1463086652,593
1463086657,559
1463086663,578
1463086667,562
1463086672,595
1463086677,590
1463086682,588
1463086687,580
1463086692,591
1463086697,574
1463086702,580
1463086707,518
1463086712,542
1463086717,537
1463086722,552
1463086727,524
1463086732,541
1463086737,518
1463086742,538
1463086747,539
1463086752,521
1463086757,520
1463086762,500
1463086767,500
1463086771,527
1463086776,487
1463086781,515
1463086786,524
1463086791,530
1463086796,534
1463086801,526
1463086806,533
1463086811,539
1463086816,556
1463086821,561
1463086826,576
1463086831,562
1463086836,572
1463086841,577
1463086846,580
1463086851,564
1463086856,546
1463086861,557
1463086866,567
1463086871,566
1463086876,542
1463086882,572
1463086886,563
1463086891,541
1463086896,569
1463086901,566
1463086906,571
1463086911,575
1463086916,575
1463086921,572
1463086926,565
1463086931,573
1463086936,578
1463086941,579
1463086946,579
1463086951,580
1463086956,529
1463086961,569
1463086966,570
1463086971,541
1463086976,527
1463086981,546
1463086986,552
1463086991,557
1463086996,560
1463087001,572
1463087006,574
1463087011,579
1463087016,583
1463087021,586
1463087025,591
1463087030,595
1463087035,600
1463087040,603
1463087045,608
1463087050,611
1463087055,616
1463087060,619
1463087065,617
1463087070,615
1463087075,596
1463087080,612
1463087085,618
1463087090,625
1463087095,630
1463087100,635
1463087105,637
1463087110,684
1463087115,611
1463087120,612
1463087125,579
1463087130,618
1463087135,627
1463087140,629
1463087145,631
1463087150,615
1463087155,637
1463087160,643
1463087165,633
1463087170,646
1463087175,649
1463087180,639
1463087185,650
1463087190,654
1463087195,656
1463087200,643
1463087205,655
1463087210,661
1463087215,658
1463087220,657
1463087225,664
1463087230,669
1463087235,673
1463087240,640
1463087245,656
1463087250,663
1463087255,667
1463087260,668
1463087265,658
1463087270,666
1463087275,664
1463087279,674
1463087284,675
1463087289,678
1463087295,670
1463087299,676
1463087304,662
1463087309,659
1463087314,669
1463087319,663
1463087324,654
1463087329,668
1463087334,671
1463087339,673
1463087344,661
1463087349,678
1463087354,687
1463087359,649
1463087364,569
1463087369,602
1463087374,624
1463087379,637
1463087384,624
1463087389,638
1463087394,641
1463087399,643
1463087404,625
1463087409,646
1463087414,653
1463087419,616
1463087424,649
