DateTime,RRInterval
1463146568.09785,1018796
1463146568.10385,592
1463146568.10385,576
1463146568.10385,576
1463146568.10385,572
1463146568.10385,576
1463146568.10385,576
1463146568.10385,584
1463146568.10385,588
1463146568.10385,564
1463146568.10385,572
1463146568.10385,572
1463146568.10385,644
1463146568.10385,1088
1463146568.10385,832
1463146570.12727,712
1463146570.12828,620
1463146570.12828,596
1463146570.12828,596
1463146572.10736,580
1463146572.10736,564
1463146572.10736,556
1463146574.09239,548
1463146574.09239,-64988
1463146574.09239,540
1463146574.09289,540
1463146576.10789,540
1463146576.10789,544
1463146576.10789,552
1463146576.10789,548
1463146578.1119,552
1463146578.1119,544
1463146578.1119,536
1463146580.08934,536
1463146580.08934,524
1463146580.08934,528
1463146580.08934,516
1463146582.07249,516
1463146582.07249,512
1463146582.07249,504
1463146582.07249,504
1463146584.07939,504
1463146584.07939,496
1463146584.07939,496
1463146584.07939,492
1463146586.08921,496
1463146586.08921,492
1463146586.08921,984
1463146588.09572,976
1463146588.09572,488
1463146588.09572,480
1463146590.07665,480
1463146590.07665,476
1463146590.07665,476
1463146590.07665,472
1463146592.08404,476
1463146592.08404,484
1463146592.08404,492
1463146592.08404,508
1463146594.09393,516
1463146594.09393,540
1463146594.09393,548
1463146594.09393,564
1463146596.08737,572
1463146596.08737,596
1463146596.08737,624
