time,screenX,screenY,lineNum,charPos,token
1463162381.02719,310,444,,,
1463162381.05219,313,456,18,392,BubbleSort
1463162381.05519,318,464,18,392,BubbleSort
1463162381.05819,318,466,18,392,BubbleSort
1463162381.06219,320,466,18,392,BubbleSort
1463162381.06819,324,468,18,392,BubbleSort
1463162381.07219,326,468,18,392,BubbleSort
1463162381.07719,327,471,,,
1463162381.08019,329,477,,,
1463162381.08519,327,483,,,
1463162381.08919,326,484,,,
1463162381.09319,326,481,,,
1463162381.09619,327,481,,,
1463162381.10419,330,481,,,
1463162381.10919,335,483,,,
1463162381.12119,337,484,,,
1463162381.12619,344,485,,,
1463162381.13119,353,485,,,
1463162381.13619,359,486,,,
1463162381.15219,402,487,20,455,counter1
1463162381.15719,443,487,20,466,array
1463162381.19119,450,488,20,466,array
1463162381.19619,450,489,20,466,array
1463162381.20219,450,493,20,466,array
1463162381.22619,453,495,20,471,.
1463162381.23819,456,499,20,471,.
1463162381.24419,460,504,,,
1463162381.24819,459,508,,,
1463162381.2532,452,504,,,
1463162381.25819,450,503,,,
1463162381.26419,444,499,20,466,array
1463162381.27019,441,501,20,466,array
1463162381.27619,409,501,20,464,<
1463162381.28119,367,493,20,455,counter1
1463162381.28419,355,490,20,455,counter1
1463162381.29119,354,487,20,455,counter1
1463162381.2982,351,486,,,
1463162381.3022,351,485,,,
1463162381.30619,351,485,,,
1463162381.3092,351,485,,,
1463162381.31219,354,485,,,
1463162381.31619,358,485,,,
1463162381.3192,358,485,,,
1463162381.4012,358,485,,,
1463162381.4042,358,484,,,
1463162381.4072,358,480,,,
1463162381.4102,360,477,,,
1463162381.4122,358,476,,,
1463162381.4152,355,476,,,
1463162381.4182,354,475,,,
1463162381.4222,354,472,,,
1463162381.4252,354,466,18,402,(
1463162381.4282,355,465,18,402,(
1463162381.4312,356,475,,,
1463162381.4342,358,479,,,
1463162381.4402,363,488,20,455,counter1
1463162381.4422,367,490,20,455,counter1
1463162381.4482,371,494,20,455,counter1
1463162381.4542,371,484,,,
1463162381.4572,378,486,,,
1463162381.4592,398,493,20,455,counter1
1463162381.4642,398,482,,,
1463162381.4682,421,482,,,
1463162381.4712,421,478,,,
1463162381.4792,470,478,,,
1463162381.4822,521,482,,,
1463162381.4872,538,503,,,
1463162381.4922,546,525,22,563,Length
1463162381.4982,567,528,22,563,Length
1463162381.5052,585,527,22,569,;
1463162381.5082,586,526,22,569,;
1463162381.51121,587,532,22,569,;
1463162381.5192,589,538,,,
1463162381.5252,593,539,,,
